#separator:tab
#html:true
Wie?	Kim? <br/> کی؟
Wat?	Ne? <br/> چه؟
Voorkeur	Preference
Behulpzaam	Helpful
Soms	Sometimes 
Boterham 	Sandwich (bread slice)
Kruipen	Crawl 
Huilen	Cry
Speelgoed	Toys
Streng	Strict
Versloving	Addiction
Drop	Village 
Pech	Bad Luck
Wielen	Wheel (چرخ دوچرخه)
Gat	Hole - سوراخ 🕳️
Vies	Kirli <br/> کثیف
Bezigheid	Activity
Rek	Rack - Shelf 
Vrijwilliger	Volunteer
Lopen	Walking
Dweilen 	Mopping 
Rijbewijs	Driving license
Bewijs	Proof
Omdat	Because 
Tandpasta	Toothpaste 
Gewicht	Weight 
Droog	Dry
Zoet	Sweet (taste)
Gezondheid	Health 
Smaak	Taste
Alleen	Only
Gezin	Nuclear family (only close family members)
Anders	Otherwise/different 
Ander	Another 
Groot	Büyük <br/> بزرگ
Groeten	Greetings / to greet
Nep	Fake (like fake T-shirt)
Betekenen<br>	Mean
Zoon	Son
Dochter	Daughter 
Heet	Called
Broer	Brother 
Zus	Sister
Moeder	Mother
Vader	Father
Oma	Grandma 
Opa	Grandfather 
Waar	True
Wat eet u graag?	What do you like to eat?
Hoe leert u Nederlands?	How do you learn Dutch?
Wat vindt u van het weer in Nederland?	What do you think of the weather in the Netherlands?
Weather 	weer
Ik hou van	I like / I love 
Ik hou niet van...	I don’t like...
Poort	Gate
Been	Leg
Peen	Carrot
Wortel	Carrot
Zuur	Sour
Kus	Kiss
Mug	Mosquito 
natuurlijk	of course
makkelijk	easy
Wie ben jij?	Who are you?
Taken	Task
Roddelen	Gossip
Uitdaging	Challenge
schoonmaken	to clean
Ongeluk	Accident 
beschadigt	Damage 
Ik ben onderweg	I'm on my way
Ken merken	Characteristics 
Stofzuiger	Vacume cleaner 
Ik had een drukke dag.	I had a busy day
Dragen	Wearing 
Kleren	Clothing 
Antwoord	Answer
Opvouwen	Folding (cloth)
Ik heb het nooit hoeven doen	I never had to do it 
gelegenheid	Occasion 
Rues	Giant
Waar ga je naartoe?	Where are you going to?
Minder	Fewer
Zonder	Without 
Opdracht 	Assignment 
Lees de tekst nog een keer	Read the text again
Aangenaam	Nice to meet you 
Samen	Together 
Lig	Laying (down)
Rotzooi	Mess/disorder 
Wat doe je graag?	What do you like to do? 
